,Stock_Data,1. open,2. high,3. low,4. close,5. volume,Tweet_Date,Positive,Negative,Total,Day
0,10/22/2018,1784,1809.5,1756,1789.3,4500015,10/23/2018,2728,562,4994,
1,10/23/2018,1742.24,1776.34,1714,1768.7,6723913,10/24/2018,2498,550,4884,
2,10/24/2018,1773.7,1777.71,1656.56,1664.2,6928383,10/25/2018,2310,519,4654,
3,10/25/2018,1703.34,1794.81,1692.01,1782.17,10285742,10/26/2018,2451,580,4954,
4,10/26/2018,1649.59,1698.46,1603,1642.81,14963783,10/27/2018,1926,399,3701,
5,10/29/2018,1660,1665.74,1495,1538.88,13866077,10/30/2018,2538,525,4834,
6,10/30/2018,1486.16,1540.99,1476.36,1530.42,12460086,10/31/2018,2660,475,4854,
7,10/31/2018,1569.99,1623.91,1565.09,1598.01,9390211,11/1/2018,2336,525,4710,
8,11/1/2018,1623.53,1670.45,1598.44,1665.53,8135539,11/2/2018,2600,550,4849,
9,11/2/2018,1678.59,1697.44,1651.83,1665.53,6955548,11/3/2018,1921,459,3880,
10,11/5/2018,1657.57,1658.09,1596.36,1627.8,5624727,11/6/2018,2331,514,4773,
11,11/6/2018,1618.35,1665,1614.55,1642.81,4257353,11/7/2018,2240,427,4384,
12,11/7/2018,1673,1759.23,1664.08,1755.49,8192234,11/8/2018,2337,437,4466,
13,11/8/2018,1755,1784,1725.11,1754.91,6534866,11/9/2018,2337,483,4703,
14,11/9/2018,1732.5,1743.92,1701.87,1712.43,5902186,11/10/2018,2292,450,4405,
15,11/12/2018,1698.24,1708.55,1630.01,1636.85,6806245,11/13/2018,3530,806,6964,
16,11/13/2018,1649.29,1677.06,1613.75,1631.17,5933271,11/14/2018,3071,707,6193,
17,11/14/2018,1656.32,1673,1597.07,1599.01,6486891,11/15/2018,2627,658,5386,
18,11/15/2018,1581.01,1624.82,1546.51,1619.44,8427337,11/16/2018,2549,716,5297,
19,11/16/2018,1587.5,1614.48,1573.12,1593.41,6066080,11/17/2018,2203,530,4314,
20,11/19/2018,1577.01,1581.19,1503.36,1512.29,7789981,11/20/2018,2511,562,5056,
21,11/20/2018,1437.5,1534.75,1420,1495.46,10878823,11/21/2018,2571,676,5515,
22,11/21/2018,1542.99,1550,1515,1516.73,5716800,11/22/2018,2381,638,5033,
23,11/23/2018,1517,1536.2,1501.81,1502.06,2707642,11/24/2018,2596,569,5009,
24,11/26/2018,1539,1584.81,1524.22,1581.33,6257716,11/27/2018,3025,572,5733,
25,11/27/2018,1575.99,1597.65,1558.01,1581.42,5783227,11/28/2018,2639,545,5566,
26,11/28/2018,1613.92,1681.45,1601.21,1677.75,8458738,11/29/2018,2487,535,5027,
27,11/29/2018,1674.99,1689.99,1652.33,1673.57,6613243,11/30/2018,2532,508,5123,
28,11/30/2018,1679.5,1696,1666.5,1690.17,5761761,12/1/2018,2074,366,4139,
