,Stock_Date,open,high,low,close,volume,Tweet_Date,Positive,Negative,Total
0,10/22/2018,219.79,223.36,218.94,220.65,28792082,10/23/2018,1065,218,2178
1,10/23/2018,215.83,223.25,214.7,222.73,38767846,10/24/2018,1166,383,2610
2,10/24/2018,222.6,224.23,214.54,215.09,40925163,10/25/2018,1071,318,2383
3,10/25/2018,217.71,221.38,216.75,219.8,29855768,10/26/2018,1107,237,2179
4,10/26/2018,215.9,220.19,212.67,216.3,47258375,10/27/2018,763,176,1531
5,10/29/2018,219.19,219.69,206.09,212.24,45935520,10/30/2018,3184,528,5508
6,10/30/2018,211.15,215.18,209.27,213.3,36659990,10/31/2018,1726,350,3268
7,10/31/2018,216.88,220.45,216.62,218.86,38358933,11/1/2018,1441,319,2905
8,11/1/2018,219.05,222.36,216.81,222.22,58323180,11/2/2018,1253,354,2701
9,11/2/2018,209.55,213.65,205.43,207.48,91328654,11/3/2018,777,202,1671
10,11/5/2018,204.3,204.39,198.17,201.59,66163669,11/6/2018,987,244,2166
11,11/6/2018,201.92,204.72,201.69,203.77,31882881,11/7/2018,974,196,2010
12,11/7/2018,205.97,210.06,204.13,209.95,33424434,11/8/2018,1029,241,2037
13,11/8/2018,209.98,210.12,206.75,208.49,25362636,11/9/2018,983,193,1882
14,11/9/2018,205.55,206.01,202.25,204.47,34365750,11/10/2018,829,173,1665
15,11/12/2018,199,199.85,193.79,194.17,51135518,11/13/2018,980,279,2124
16,11/13/2018,191.63,197.18,191.4501,192.23,46882936,11/14/2018,1005,251,2090
17,11/14/2018,193.9,194.48,185.93,186.8,60800957,11/15/2018,992,224,2082
18,11/15/2018,188.39,191.97,186.9,191.41,46478801,11/16/2018,962,214,1915
19,11/16/2018,190.5,194.9695,189.46,193.53,36928253,11/17/2018,584,147,1230
20,11/19/2018,190,190.7,184.99,185.86,41920872,11/20/2018,947,256,2094
21,11/20/2018,178.37,181.47,175.51,176.98,67825247,11/21/2018,947,282,2129
22,11/21/2018,179.73,180.27,176.55,176.78,31124210,11/22/2018,855,205,1813
23,11/23/2018,174.94,176.595,172.1,172.29,23623972,11/24/2018,679,164,1410
24,11/26/2018,174.24,174.95,170.26,174.62,44998520,11/27/2018,1014,193,2133
25,11/27/2018,171.51,174.77,170.88,174.24,41387377,11/28/2018,951,173,2000
26,11/28/2018,176.73,181.29,174.93,180.94,46062539,11/29/2018,937,171,1867
27,11/29/2018,182.66,182.8,177.7,179.55,41769992,11/30/2018,792,178,1713
28,11/30/2018,180.29,180.33,177.03,178.58,39531549,12/1/2018,645,137,1399
