,Stock_Data,open,high,low,close,volume,Tweet_Date,Positive,Negative,Total
0,10/22/2018,1112.51,1121.69,1100,1111.37,1355842,10/23/2018,956,265,2313
1,10/23/2018,1091.29,1118,1079.01,1114.91,1884255,10/24/2018,935,265,2445
2,10/24/2018,1115,1116.62,1055.06,1057.12,2464295,10/25/2018,1094,294,2695
3,10/25/2018,1080.3,1117.82,1075.55,1103.59,3647814,10/26/2018,1107,328,2580
4,10/26/2018,1048.33,1117,1042.23,1083.75,5321883,10/27/2018,629,181,1518
5,10/29/2018,1096.54,1108.83,1007.2,1034.73,4064452,10/30/2018,982,290,2407
6,10/30/2018,1020.01,1050.9,1013.97,1049.51,2988418,10/31/2018,966,291,2320
7,10/31/2018,1068.2,1108,1068.2,1090.58,3545821,11/1/2018,1387,322,3222
8,11/1/2018,1091.4,1099.9,1077.82,1085.98,2006575,11/2/2018,919,269,2367
9,11/2/2018,1089,1098,1067.66,1071.49,2172215,11/3/2018,534,129,1428
10,11/5/2018,1072.53,1073.35,1034,1055.73,2267870,11/6/2018,841,226,2165
11,11/6/2018,1055.02,1079.82,1053.61,1069.57,1433013,11/7/2018,774,240,1940
12,11/7/2018,1083.49,1109.93,1080.59,1108.24,2169392,11/8/2018,860,194,2084
13,11/8/2018,1107.3,1108.22,1084.36,1094.63,1685193,11/9/2018,802,216,2064
14,11/9/2018,1084.02,1088.35,1064.26,1077.02,1743298,11/10/2018,543,194,1466
15,11/12/2018,1073.13,1074.1,1040.35,1049.36,1700091,11/13/2018,793,329,2365
16,11/13/2018,1054.81,1066.66,1040.4,1047.97,1287475,11/14/2018,1005,305,2730
17,11/14/2018,1060,1065.79,1041.11,1054.58,1733302,11/15/2018,973,280,2424
18,11/15/2018,1051.46,1078.87,1041.29,1071.05,2079154,11/16/2018,824,212,1971
19,11/16/2018,1065.23,1072.44,1054.9,1068.27,1768308,11/17/2018,556,140,1470
20,11/19/2018,1063.39,1068,1022.87,1027.42,2284191,11/20/2018,877,255,2211
21,11/20/2018,1007.29,1037.35,1002.21,1030.45,2722934,11/21/2018,812,199,2110
22,11/21/2018,1045.31,1054.7,1039.45,1043.43,1485172,11/22/2018,761,207,1811
23,11/23/2018,1033.5,1043,1028.52,1030.1,708859,11/24/2018,467,162,1331
24,11/26/2018,1044,1057,1039.77,1055.94,1577941,11/27/2018,822,301,2388
25,11/27/2018,1051.34,1066.76,1045.5,1052.28,1652433,11/28/2018,987,234,2462
26,11/28/2018,1057.46,1092.86,1042.95,1091.79,2302121,11/29/2018,869,207,2198
27,11/29/2018,1083.53,1100.15,1082,1094.58,1550523,11/30/2018,925,235,2223
28,11/30/2018,1095.63,1109.65,1083.18,1109.65,2983340,12/1/2018,540,164,1492
