,Data,1. open,2. high,3. low,4. close,5. volume
0,2018-12-04,1112.9900,1114.2400,1061.0800,1061.0800,1750278
1,2018-12-03,1132.1600,1135.0000,1111.7300,1116.3600,2871296
2,2018-11-30,1095.6300,1109.6500,1083.1800,1109.6500,2983340
3,2018-11-29,1083.5300,1100.1500,1082.0000,1094.5800,1550523
4,2018-11-28,1057.4600,1092.8600,1042.9500,1091.7900,2302121
5,2018-11-27,1051.3400,1066.7600,1045.5000,1052.2800,1652433
6,2018-11-26,1044.0000,1057.0000,1039.7700,1055.9400,1577941
7,2018-11-23,1033.5000,1043.0000,1028.5200,1030.1000,708859
8,2018-11-21,1045.3100,1054.7000,1039.4500,1043.4300,1485172
9,2018-11-20,1007.2900,1037.3500,1002.2100,1030.4500,2722934
10,2018-11-19,1063.3900,1068.0000,1022.8700,1027.4200,2284191
11,2018-11-16,1065.2300,1072.4400,1054.9000,1068.2700,1768308
12,2018-11-15,1051.4600,1078.8700,1041.2900,1071.0500,2079154
13,2018-11-14,1060.0000,1065.7900,1041.1100,1054.5800,1733302
14,2018-11-13,1054.8100,1066.6600,1040.4000,1047.9700,1287475
15,2018-11-12,1073.1300,1074.1000,1040.3500,1049.3600,1700091
16,2018-11-09,1084.0200,1088.3500,1064.2600,1077.0200,1743298
17,2018-11-08,1107.3000,1108.2200,1084.3600,1094.6300,1685193
18,2018-11-07,1083.4900,1109.9300,1080.5900,1108.2400,2169392
19,2018-11-06,1055.0200,1079.8200,1053.6100,1069.5700,1433013
20,2018-11-05,1072.5300,1073.3500,1034.0000,1055.7300,2267870
21,2018-11-02,1089.0000,1098.0000,1067.6600,1071.4900,2172215
22,2018-11-01,1091.4000,1099.9000,1077.8200,1085.9800,2006575
23,2018-10-31,1068.2000,1108.0000,1068.2000,1090.5800,3545821
24,2018-10-30,1020.0100,1050.9000,1013.9700,1049.5100,2988418
25,2018-10-29,1096.5400,1108.8300,1007.2000,1034.7300,4064452
26,2018-10-26,1048.3300,1117.0000,1042.2300,1083.7500,5321883
27,2018-10-25,1080.3000,1117.8200,1075.5500,1103.5900,3647814
28,2018-10-24,1115.0000,1116.6200,1055.0600,1057.1200,2464295
29,2018-10-23,1091.2900,1118.0000,1079.0100,1114.9100,1884255
30,2018-10-22,1112.5100,1121.6900,1100.0000,1111.3700,1355842
31,2018-10-19,1103.7100,1120.9500,1097.0300,1105.1800,2064289
32,2018-10-18,1130.0000,1132.3500,1086.3400,1097.9100,2307596
33,2018-10-17,1140.0000,1147.0000,1114.0000,1127.5900,1782614
34,2018-10-16,1113.4800,1136.3700,1111.7500,1133.0800,1918879
35,2018-10-15,1118.0000,1121.8000,1098.2200,1102.4400,1503956
36,2018-10-12,1119.6400,1125.8300,1095.0300,1120.5400,2468920
37,2018-10-11,1079.0400,1116.0600,1075.8900,1090.7400,3384775
