,Data,1. open,2. high,3. low,4. close,5. volume
0,2018-12-04,288.1300,295.7400,274.7200,275.3300,12176090
1,2018-12-03,293.1900,298.7200,284.5800,290.3000,14080359
2,2018-11-30,288.0000,290.8100,283.0610,286.1300,11860117
3,2018-11-29,282.3200,290.4900,275.5000,288.7500,15431538
4,2018-11-28,271.9800,284.0000,263.3400,282.6500,14801333
5,2018-11-27,259.2400,269.0800,256.1400,266.6300,11149501
6,2018-11-26,260.5500,266.2500,253.8000,261.4300,12498560
7,2018-11-23,260.1100,265.5000,256.8400,258.8200,5245123
8,2018-11-21,274.4200,275.3400,261.5100,262.1300,11023037
9,2018-11-20,254.6300,276.3400,250.0000,266.9800,16693809
10,2018-11-19,283.7900,285.0900,269.1500,270.6000,12993797
11,2018-11-16,287.1400,291.7200,281.0000,286.2100,9099485
12,2018-11-15,285.5100,292.5000,282.1600,290.0600,9967098
13,2018-11-14,300.4000,301.8400,278.2969,286.7300,16853574
14,2018-11-13,295.0000,303.5500,289.1000,294.4000,12232162
15,2018-11-12,300.0000,302.4900,290.6300,294.0700,10924827
16,2018-11-09,311.0700,312.9800,298.0100,303.4700,13480792
17,2018-11-08,328.0000,332.0499,316.6103,317.9200,11023853
18,2018-11-07,312.9000,328.5600,311.0000,327.5000,13328328
19,2018-11-06,314.7600,320.2200,305.3000,310.8400,9710424
20,2018-11-05,311.1000,317.5300,303.7400,315.4400,10283044
21,2018-11-02,318.0000,321.8800,308.3300,309.1000,13404646
22,2018-11-01,304.5900,318.4500,296.6700,317.3800,15121450
23,2018-10-31,297.7700,311.5000,295.0500,301.7800,20360342
24,2018-10-30,275.5700,290.5250,271.2093,285.8100,23685702
25,2018-10-29,305.2600,307.8900,275.4000,284.8400,21698841
26,2018-10-26,300.5100,313.9900,292.3000,299.8300,19616041
27,2018-10-25,307.1200,319.9400,305.2500,312.8700,13346921
28,2018-10-24,332.2800,333.0000,300.7300,301.8300,19039297
29,2018-10-23,318.0000,336.5800,316.7700,333.1600,14907326
30,2018-10-22,333.1000,335.8000,320.3400,329.5400,17097175
31,2018-10-19,351.0000,355.8000,332.2000,332.6700,16717233
32,2018-10-18,360.6730,362.2000,346.0500,346.7100,18461040
33,2018-10-17,378.3300,380.0000,356.5000,364.7000,32610947
34,2018-10-16,337.2400,347.9500,330.5550,346.4000,20156418
35,2018-10-15,337.6300,339.2057,326.9300,333.1300,11214956
36,2018-10-12,339.5700,341.3000,328.9000,339.5600,14870830
37,2018-10-11,324.9400,334.2000,315.8100,321.1000,16082056
38,2018-10-10,353.5200,355.1500,325.3900,325.8900,17183120
39,2018-10-09,348.4800,358.7200,347.0900,355.7100,8754990
40,2018-10-08,345.1800,352.9450,338.1100,349.1000,12375496
41,2018-10-05,359.7700,363.5000,343.0000,351.3500,13522957
42,2018-10-04,375.8800,375.9200,360.4000,363.6500,9074350
43,2018-10-03,378.5300,380.9300,374.8810,377.0500,5798605
44,2018-10-02,384.3800,386.7999,373.8300,377.1400,8638717
45,2018-10-01,375.8500,386.1100,375.5900,381.4300,8376560
46,2018-09-28,379.2400,380.8000,373.7300,374.1300,7114878
47,2018-09-27,379.8700,383.2000,376.0000,380.7100,7326246
48,2018-09-26,373.5900,382.0000,370.8800,377.8800,13799728
49,2018-09-25,370.2300,371.3400,364.4920,369.4300,6799816
50,2018-09-24,359.0000,373.6400,354.3300,369.6100,9322522
51,2018-09-21,366.5900,372.2200,360.7400,361.1900,11930568
52,2018-09-20,370.2600,370.2600,363.1700,365.3600,6768086
53,2018-09-19,373.9500,377.6100,359.1700,366.9600,11876841
54,2018-09-18,353.6700,368.1500,351.5600,367.6500,10413981
55,2018-09-17,364.2200,367.3300,349.5700,350.3500,7071945
56,2018-09-14,368.5500,371.0900,363.4600,364.5600,4756426
57,2018-09-13,371.9100,374.0900,366.8400,368.1500,8366122
58,2018-09-12,359.0800,370.4300,356.2400,369.9500,10480769
59,2018-09-11,344.6700,356.1500,343.9001,355.9300,6198063
60,2018-09-10,352.2700,352.5000,343.0800,348.4100,5752184
61,2018-09-07,342.2000,355.7500,341.2500,348.6800,9105817
62,2018-09-06,347.4400,356.0000,341.9900,346.4600,13050156
63,2018-09-05,360.0000,363.3900,335.8300,341.1800,13092847
64,2018-09-04,366.4700,368.8800,361.2600,363.6000,7605161
65,2018-08-31,370.6600,376.0000,367.0766,367.6800,7943443
66,2018-08-30,365.0000,376.8085,363.5400,370.9800,10981013
67,2018-08-29,367.2000,369.8600,362.9100,368.0400,8118734
68,2018-08-28,367.2300,369.9900,360.3800,368.4900,9222617
69,2018-08-27,367.1453,374.4900,360.0000,364.5800,17427304
70,2018-08-24,346.0000,359.1500,344.5410,358.8200,14729137
71,2018-08-23,348.1100,350.0800,337.6500,339.1700,11336425
72,2018-08-22,338.4900,346.2100,337.4060,344.4400,8930669
73,2018-08-21,331.0000,341.5000,329.7000,338.0200,14783246
74,2018-08-20,314.6400,331.6000,310.9280,327.7300,13591100
75,2018-08-17,319.0100,324.3650,312.9600,316.7800,10407908
76,2018-08-16,329.9000,331.1700,321.2138,322.4400,6689733
77,2018-08-15,334.0300,335.4962,321.0000,326.4000,11784485
78,2018-08-14,342.0900,342.4100,336.2500,337.4900,5805182
79,2018-08-13,339.8900,347.1900,339.0700,341.3100,6893649
80,2018-08-10,346.9100,349.1000,344.4233,345.8700,4337481
81,2018-08-09,347.9600,352.4390,345.8157,349.3600,4820313
82,2018-08-08,352.2100,352.2900,346.6100,347.6100,5402465
83,2018-08-07,353.2300,357.3100,349.0100,351.8300,7970930
84,2018-08-06,342.8653,351.9800,341.7400,350.9200,8198076
85,2018-08-03,347.7500,347.8600,338.4768,343.0900,8848367
86,2018-08-02,337.2300,345.0000,334.7100,344.5000,7131328
87,2018-08-01,335.8700,344.4100,334.0200,338.3800,7790477
88,2018-07-31,331.5100,342.5000,328.0000,337.4500,14085369
89,2018-07-30,351.9300,352.0300,334.0201,334.9600,18260710
90,2018-07-27,366.8500,367.0000,351.6500,355.2100,8949491
91,2018-07-26,358.1900,365.5400,356.6250,363.0900,6993684
92,2018-07-25,357.5700,363.2800,355.6500,362.8700,8516248
93,2018-07-24,366.9400,367.4000,354.5600,357.3200,12851457
94,2018-07-23,359.1453,363.9000,353.6000,362.6600,11505232
95,2018-07-20,364.9200,370.5000,360.1400,361.0500,15113740
96,2018-07-19,371.0600,375.7490,363.0000,364.2300,16878681
97,2018-07-18,381.2400,383.1300,372.3552,375.1300,21746266
98,2018-07-17,346.9500,385.0000,344.0000,379.4800,58410362
99,2018-07-16,398.9800,403.3550,391.7500,400.4800,22959984
