,Data,1. open,2. high,3. low,4. close,5. volume
0,2018-12-04,171.3800,171.9000,165.5200,165.7200,61498087
1,2018-12-03,173.1000,173.3100,169.5101,172.3300,50572519
2,2018-11-30,168.3800,169.4700,167.5400,169.3700,36722760
3,2018-11-29,168.0000,169.2600,166.8200,168.1500,44885711
4,2018-11-28,164.6200,168.7000,163.4719,168.7000,70140986
5,2018-11-27,162.0000,163.8500,161.1800,163.4400,36608063
6,2018-11-26,161.4400,162.9700,160.7600,162.8900,42012633
7,2018-11-23,159.0900,160.8400,159.0900,159.2100,23503729
8,2018-11-21,161.2900,161.9700,159.2323,160.3700,42965839
9,2018-11-20,158.3700,161.3800,157.1300,159.1600,102652794
10,2018-11-19,166.7400,166.9000,161.5400,162.0600,67280478
11,2018-11-16,166.4900,168.3100,165.7800,167.5000,65390675
12,2018-11-15,164.8400,168.5400,163.4600,168.0900,73254349
13,2018-11-14,168.0900,168.7000,164.2500,165.2000,75270714
14,2018-11-13,167.1500,169.4800,166.0000,166.4700,64128079
15,2018-11-12,170.3300,170.6400,166.1800,166.3300,62578371
16,2018-11-09,172.8300,173.2500,170.1600,171.5200,50602710
17,2018-11-08,174.7600,175.3020,173.6300,174.4600,40296538
18,2018-11-07,172.2500,175.5800,171.8700,175.5800,51169614
19,2018-11-06,168.9300,171.1900,168.7200,170.2400,34410390
20,2018-11-05,169.6100,169.6600,167.0800,168.9600,39573533
21,2018-11-02,171.5300,172.5500,168.2200,169.3800,75966781
22,2018-11-01,170.0800,172.2400,168.7800,172.0600,52706823
23,2018-10-31,168.5500,171.2500,168.5400,169.8200,73828635
24,2018-10-30,162.8000,166.0350,162.0150,165.9200,92583965
25,2018-10-29,169.1600,169.8600,160.0900,163.2300,111871933
26,2018-10-26,165.2400,169.9600,164.2300,166.6600,130970908
27,2018-10-25,167.9900,172.0800,167.1600,171.0600,83481070
28,2018-10-24,173.1200,173.3600,165.0400,165.3400,102997449
29,2018-10-23,170.7900,174.1300,168.8200,173.2700,77566972
30,2018-10-22,174.0600,175.2485,172.5900,173.9100,52909281
31,2018-10-19,174.3900,176.0700,172.3900,173.0200,82923733
32,2018-10-18,176.6000,176.6800,172.4400,173.1800,82486208
33,2018-10-17,178.1400,178.2585,175.4700,177.2900,66987639
34,2018-10-16,174.0200,177.6500,173.7000,177.2200,71979688
35,2018-10-15,173.6900,174.0400,171.5600,172.2100,64885255
36,2018-10-12,173.9900,174.8600,170.9328,174.3200,102078388
37,2018-10-11,171.0400,173.4000,167.8100,169.6000,143084463
38,2018-10-10,178.5100,178.6200,171.5000,171.7300,114471100
39,2018-10-09,179.2000,181.0200,178.7500,179.6300,49097949
40,2018-10-08,179.3700,180.6427,176.9300,179.0500,66864481
41,2018-10-05,182.3900,182.9700,178.4300,180.1500,83325630
42,2018-10-04,185.2200,185.3200,181.0600,182.3800,80557283
43,2018-10-03,186.5200,186.9700,185.6600,185.9500,29128683
44,2018-10-02,185.9500,187.1750,185.3200,185.7500,25618608
45,2018-10-01,186.8200,187.5300,185.7000,186.1700,27371297
46,2018-09-28,185.2500,186.2800,184.9700,185.7900,28076843
47,2018-09-27,185.0400,186.4900,184.9200,185.8300,33113269
48,2018-09-26,184.2500,185.9900,183.9050,184.2700,36210571
49,2018-09-25,183.7800,184.2800,183.1800,184.1400,25277520
50,2018-09-24,182.0500,183.9600,181.3000,183.8900,34945602
51,2018-09-21,185.2700,185.4800,183.4800,183.7100,38605353
52,2018-09-20,183.9500,184.9700,183.5199,184.7200,33295820
53,2018-09-19,182.8600,183.3000,181.5100,182.7000,31843377
54,2018-09-18,181.5200,183.7300,181.4000,182.8400,31877347
55,2018-09-17,183.6600,183.8100,181.1700,181.3400,33071197
56,2018-09-14,184.6600,184.9450,183.2600,183.9900,31224132
57,2018-09-13,183.6700,184.8800,183.6401,184.5300,31133188
58,2018-09-12,182.8700,182.9800,181.0100,182.5800,36203973
59,2018-09-11,180.9700,183.4200,180.5200,183.1200,30116460
60,2018-09-10,182.1200,182.2500,180.7250,181.7200,26131977
61,2018-09-07,180.5300,182.6700,180.4400,181.1100,46629495
62,2018-09-06,183.5400,183.7500,180.5800,181.8100,46091403
63,2018-09-05,185.5500,185.5500,182.8200,183.4500,42623326
64,2018-09-04,186.1000,186.4000,184.8500,185.8500,29063537
65,2018-08-31,186.1800,187.1800,185.9800,186.6500,28653248
66,2018-08-30,186.4100,187.5199,185.7900,186.4100,29315453
67,2018-08-29,184.9100,186.8400,184.8600,186.7400,29175591
68,2018-08-28,184.8000,185.0200,184.2200,184.6100,20277036
69,2018-08-27,183.4300,184.3400,183.1100,184.3400,29343552
70,2018-08-24,181.4000,182.6300,181.3600,182.4800,23136113
71,2018-08-23,180.7700,182.0450,180.5000,180.8000,25776166
72,2018-08-22,179.9600,181.2700,179.7500,181.0600,18042380
73,2018-08-21,180.2600,181.4400,180.1300,180.3600,26258657
74,2018-08-20,180.2800,180.3251,179.0000,179.7000,24938956
75,2018-08-17,179.3600,180.3100,178.2679,179.8600,36092641
76,2018-08-16,180.5700,180.9900,179.4700,179.8200,27711761
77,2018-08-15,180.0900,180.5800,178.1200,179.2300,58528016
78,2018-08-14,181.0100,181.6600,180.0400,181.4500,20913021
79,2018-08-13,180.8500,182.0100,180.2410,180.3200,26089195
80,2018-08-10,180.6800,181.2200,179.8400,180.5200,33818464
81,2018-08-09,181.9400,182.6300,181.6400,181.9100,18852898
82,2018-08-08,181.5500,182.3500,181.0600,182.0200,22680749
83,2018-08-07,181.6300,182.1400,181.2600,181.8000,29895664
84,2018-08-06,179.9700,181.1900,179.7400,181.1400,24808763
85,2018-08-03,179.8000,180.0900,179.0800,180.0800,28934445
86,2018-08-02,175.8700,179.7400,175.7900,179.5300,47178229
87,2018-08-01,176.8700,177.6500,176.0967,177.1200,37101925
88,2018-07-31,175.7500,177.1300,174.8200,176.4500,47285135
89,2018-07-30,177.6600,177.7300,174.2700,175.1100,60192990
90,2018-07-27,181.2600,181.3100,176.6000,177.6200,59456093
91,2018-07-26,180.3500,180.9200,179.8100,180.0500,40873485
92,2018-07-25,180.3600,182.9300,180.2900,182.8200,36022078
93,2018-07-24,181.3900,182.0500,179.5600,180.3000,36900281
94,2018-07-23,178.4500,179.6400,177.7400,179.5600,22184720
95,2018-07-20,179.5700,180.1700,178.7900,178.9900,35907619
96,2018-07-19,179.3400,179.8800,178.8200,179.0300,31094145
97,2018-07-18,180.2800,180.4400,179.3800,179.9300,23220839
98,2018-07-17,177.3000,180.6500,177.2800,180.2700,31034075
99,2018-07-16,179.6400,179.9500,178.8800,179.1800,21405310
