,Data,1. open,2. high,3. low,4. close,5. volume
0,2018-12-06,265.9200,269.9700,262.4401,269.8400,203540002
1,2018-12-04,278.3700,278.8500,269.9000,270.2500,177986013
2,2018-12-03,280.2800,280.4000,277.5050,279.3000,103017719
3,2018-11-30,273.8100,276.2800,273.4500,275.6500,98204190
4,2018-11-29,273.7100,275.5500,272.4300,273.9800,82346420
5,2018-11-28,269.6000,274.5800,268.3272,274.5800,127629633
6,2018-11-27,266.3400,268.4000,265.6600,268.4000,75502441
7,2018-11-26,265.7800,267.7500,265.3400,267.5000,79981362
8,2018-11-23,263.1800,264.8234,263.0700,263.2500,42807878
9,2018-11-21,265.8600,267.1500,265.0100,265.0200,75563743
10,2018-11-20,265.3600,267.0000,263.1500,264.1200,136021311
11,2018-11-19,273.0500,273.3800,268.0700,269.1000,103061706
12,2018-11-16,271.7900,274.7500,271.2100,273.7300,126668040
13,2018-11-15,268.7800,273.5400,267.0102,273.0200,135101437
14,2018-11-14,274.1600,274.6100,268.4500,270.2000,125335931
15,2018-11-13,273.0900,275.3250,271.2500,272.0600,98176610
16,2018-11-12,277.1900,277.4600,271.9900,272.5700,99673574
17,2018-11-09,279.0300,279.2400,276.1800,277.7600,98812561
18,2018-11-08,280.1100,281.2200,279.2200,280.5000,65584886
19,2018-11-07,277.5600,281.1000,277.0800,281.0100,102752099
20,2018-11-06,273.3200,275.3000,273.2500,275.1200,60085894
21,2018-11-05,272.4400,274.0100,271.3500,273.3900,65622482
22,2018-11-02,274.7500,275.2300,269.5900,271.8900,122634107
23,2018-11-01,271.6000,273.7300,270.3800,273.5100,99495037
24,2018-10-31,270.6500,273.2300,270.1200,270.6300,128296325
25,2018-10-30,263.6700,268.1200,263.1200,267.7700,157115995
26,2018-10-29,268.8000,270.2500,259.8500,263.8600,160749101
27,2018-10-26,265.9200,271.0000,262.2900,265.3300,201574596
28,2018-10-25,267.3800,271.8100,266.2300,270.0800,138061545
29,2018-10-24,273.3300,273.7600,264.7000,265.3200,177806697
30,2018-10-23,270.9500,274.8700,268.6100,273.6100,146352719
31,2018-10-22,277.0000,277.3600,274.4100,275.0100,82415812
32,2018-10-19,277.1300,279.3000,275.4700,276.2500,139901634
33,2018-10-18,279.4000,280.0700,274.9700,276.4000,134557525
34,2018-10-17,280.4400,281.1500,277.5600,280.4500,110625987
35,2018-10-16,276.6000,280.8200,276.0700,280.4000,118255834
36,2018-10-15,275.5500,277.0400,274.3000,274.4000,102263717
37,2018-10-12,276.7700,277.0900,272.3700,275.9500,183186492
38,2018-10-11,277.0800,278.9000,270.3600,272.1700,274840491
39,2018-10-10,286.8300,286.9100,277.8800,278.3000,214731000
40,2018-10-09,287.3900,288.8600,286.7700,287.4000,74338982
41,2018-10-08,287.0500,288.2200,285.5000,287.8200,87742172
42,2018-10-05,289.6900,290.2700,286.2200,287.8200,105951698
43,2018-10-04,291.1800,291.2400,287.6600,289.4400,111545910
44,2018-10-03,292.7400,293.2100,291.3200,291.7200,64694594
45,2018-10-02,291.5600,292.3550,291.1400,291.5600,47258227
46,2018-10-01,292.1100,292.9300,290.9800,291.7300,62078937
47,2018-09-28,289.9900,291.2800,289.9500,290.7200,70091385
48,2018-09-27,290.4100,291.9100,290.1000,290.6900,59249455
49,2018-09-26,290.9100,292.2400,289.4100,289.8800,79739674
50,2018-09-25,291.5300,291.6500,290.4833,290.7500,44370037
51,2018-09-24,291.3400,291.5000,290.3700,291.0200,53409645
52,2018-09-21,293.0900,293.2200,291.8100,291.9900,105479656
53,2018-09-20,292.6400,293.9400,291.2363,293.5800,100360646
54,2018-09-19,290.9700,291.6900,290.8250,291.2200,49080562
55,2018-09-18,289.5800,291.5800,289.5500,290.9100,61930407
56,2018-09-17,290.8200,290.8600,289.0300,289.3400,68244043
57,2018-09-14,291.0600,291.2700,290.0000,290.8800,55079875
58,2018-09-13,290.3200,291.0384,289.9950,290.8300,51034222
59,2018-09-12,289.0600,289.8000,288.2300,289.1200,59810758
60,2018-09-11,287.3700,289.5500,286.9750,289.0500,50530492
61,2018-09-10,288.7400,289.0400,287.8800,288.1000,50191113
62,2018-09-07,286.9800,288.7000,286.7100,287.6000,73524824
63,2018-09-06,289.1500,289.4900,287.0000,288.1600,65909863
64,2018-09-05,289.4100,289.6400,287.8900,289.0300,72452437
65,2018-09-04,289.8400,290.2100,288.6800,289.8100,57594367
66,2018-08-31,289.8400,290.8100,289.2900,290.3100,66140838
67,2018-08-30,290.9400,291.3600,289.6300,290.3000,61229501
68,2018-08-29,290.1600,291.7400,289.8854,291.4800,61485514
69,2018-08-28,290.3000,290.4175,289.4000,289.9200,46943472
70,2018-08-27,288.8600,289.9000,288.6800,289.7800,57072377
71,2018-08-24,286.4400,287.6700,286.3800,287.5100,57487399
72,2018-08-23,285.9700,286.9400,285.4300,285.7900,49204851
73,2018-08-22,285.8800,286.7600,285.5750,286.1700,44993333
74,2018-08-21,286.2500,287.3100,285.7135,286.3400,67271983
75,2018-08-20,285.5700,285.9700,285.0600,285.6700,39807490
76,2018-08-17,283.8300,285.5601,283.3700,285.0600,65618481
77,2018-08-16,283.4000,285.0400,283.3600,284.0600,69967919
78,2018-08-15,282.3800,282.5400,280.1600,281.7800,102925355
79,2018-08-14,282.9200,284.1700,282.4833,283.9000,43842031
80,2018-08-13,283.4700,284.1600,281.7700,282.1000,65732909
81,2018-08-10,283.4500,284.0550,282.3600,283.1600,77076044
82,2018-08-09,285.5300,285.9700,284.9150,285.0700,35716976
83,2018-08-08,285.3900,285.9100,284.9400,285.4600,42114551
84,2018-08-07,285.3900,286.0100,285.2400,285.5800,43196646
85,2018-08-06,283.6400,284.9900,283.2015,284.6400,39400887
86,2018-08-03,282.5300,283.6577,282.3300,283.6000,53935386
87,2018-08-02,279.3900,282.5800,279.1600,282.3900,63426363
88,2018-08-01,281.5600,282.1300,280.1315,280.8600,53853326
89,2018-07-31,280.8100,282.0200,280.3800,281.3300,68570493
90,2018-07-30,281.5100,281.6900,279.3600,279.9500,63742508
91,2018-07-27,283.7100,283.8200,280.3800,281.4200,76783177
92,2018-07-26,283.2000,284.1100,283.0900,283.3400,57919495
93,2018-07-25,281.3300,284.3700,281.2800,284.0100,78882927
94,2018-07-24,281.7900,282.5600,280.6300,281.6100,68026935
95,2018-07-23,279.4500,280.4300,279.0600,280.2000,47047565
96,2018-07-20,279.7700,280.4800,279.5000,279.6800,82372729
97,2018-07-19,280.3100,280.7400,279.4600,280.0000,61412117
98,2018-07-18,280.5600,281.1800,280.0600,281.0600,44593465
99,2018-07-17,278.4700,280.9100,278.4100,280.4700,52315500
